,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
81059,Q554674,Mark O'Donnell,writer,Male,United States of America,Artist,1954,2012.0,,58.0,50-59
81194,Q555542,Michael Galasso,musician,Male,United States of America,Artist,1949,2009.0,,60.0,50-59
81214,Q555625,Jason Bernard,actor,Male,United States of America,Artist,1938,1996.0,natural causes,58.0,50-59
81312,Q556337,Alighiero Boetti,artist,Male,Italy; Kingdom of Italy,Artist,1940,1994.0,,54.0,50-59
81365,Q556806,Anke Lautenbach,singer,Female,Germany,Artist,1960,2012.0,,52.0,50-59
81466,Q557601,Victor Buono,actor,Male,United States of America,Artist,1938,1982.0,natural causes,44.0,40-49
81673,Q559074,Charlie Murphy,actor,Male,United States of America,Artist,1959,2017.0,natural causes,58.0,50-59
82001,Q560767,Anna Halcewicz,actress,Female,Poland,Artist,1947,1988.0,,41.0,40-49
82018,Q560836,Anna Henkel-Grönemeyer,actress,Female,Germany,Artist,1953,1998.0,,45.0,40-49
82111,Q561342,Rémi Ochlik,,Male,France,Artist,1983,2012.0,,29.0,18-29
82190,Q561721,Tahar Djaout,writer,Male,Algeria,Artist,1954,1993.0,homicide,39.0,
82227,Q561921,Danny Federici,musician,Male,United States of America,Artist,1950,2008.0,natural causes,58.0,50-59
82265,Q562112,Dave Alexander,musician,Male,United States of America,Artist,1947,1975.0,,28.0,18-29
82324,Q562440,Aziz Mian,singer,Male,Pakistan; British Raj,Artist,1942,2000.0,,58.0,
82512,Q563395,Cyril Davies,musician,Male,United Kingdom,Artist,1932,1964.0,natural causes,32.0,30-39
82532,Q563466,David McWilliams,singer,Male,United Kingdom,Artist,1945,2002.0,natural causes,57.0,50-59
82693,Q565493,Anne Kristen,actress,Female,United Kingdom,Artist,1937,1996.0,natural causes,59.0,50-59
82752,Q566077,Anneli Granget,actress,Female,Germany,Artist,1935,1971.0,,36.0,30-39
82837,Q566416,Annemirl Bauer,painter,,Germany; German Democratic Republic,Artist,1939,1989.0,,50.0,40-49
82928,Q567396,Juan Muñoz,artist,Male,Spain,Artist,1953,2001.0,,48.0,40-49
83065,Q569151,Ruth Picardie,writer,Female,United Kingdom,Artist,1964,1997.0,natural causes,33.0,30-39
83081,Q569370,Péter Kun,musician,Male,Hungary,Artist,1967,1993.0,,26.0,18-29
83423,Q572276,Al Hunter Ashton,actor,Male,United Kingdom,Artist,1957,2007.0,,50.0,40-49
83485,Q572933,Anthony Burger,,Male,United States of America,Artist,1961,2006.0,natural causes,45.0,40-49
83493,Q572984,Filip Nikolic,actor,Male,France,Artist,1974,2009.0,,35.0,30-39
83610,Q573755,Anthony Peck,actor,Male,United States of America,Artist,1947,1996.0,natural causes,49.0,40-49
83828,Q576527,Hilton Ruiz,musician,Male,United States of America,Artist,1952,2006.0,accident,54.0,50-59
83861,Q576944,Tommy Seebach,musician,Male,Denmark,Artist,1949,2003.0,natural causes,54.0,50-59
83911,Q577476,Frankie Paul,musician,Male,Jamaica,Artist,1965,2017.0,,52.0,
84062,Q579422,Beto Satragni,composer,Male,Uruguay,Artist,1955,2010.0,,55.0,50-59
84149,Q580645,Tibor Balázs,poet,Male,Hungary,Artist,1958,2017.0,,59.0,50-59
84152,Q580664,Praveen Gurung,singer,Male,Nepal,Artist,1962,2000.0,,38.0,
